file,solver,strategy,rc,status,time_raw,time,nodes,failures,peakDepth,solutions,restarts,initTime,solveTime
test_01,gecode,ff_min,0,,0.0097622,9.762e-03,11,2,4,3,0,0.00763533,0.00212687
test_02,gecode,ff_min,0,,0.00040004099999999996,4.000e-04,11,3,7,2,0,0.000343041,5.7e-05
test_03,gecode,ff_min,0,,0.002129835,2.130e-03,26,9,9,3,0,0.00163521,0.000494625
test_04,gecode,ff_min,0,,0.000802959,8.030e-04,21,6,10,2,0,0.000581125,0.000221834
test_05,gecode,ff_min,0,,0.000587459,5.875e-04,34,9,12,3,0,0.000484542,0.000102917
test_06,gecode,ff_min,0,,0.001237167,1.237e-03,380,173,16,7,0,0.000584958,0.000652209
test_07,gecode,ff_min,0,,0.001867333,1.867e-03,429,198,27,5,0,0.000895708,0.000971625
test_08,gecode,ff_min,0,,0.000841583,8.416e-04,46,10,21,3,0,0.000674291,0.000167292
test_09,gecode,ff_min,0,,0.001011625,1.012e-03,37,10,16,5,0,0.00082475,0.000186875
test_10,gecode,ff_min,0,,0.016431380000000002,1.643e-02,7563,3768,25,4,0,0.00108808,0.0153433
test_11,gecode,ff_min,0,,0.0016251220000000001,1.625e-03,610,299,13,4,0,0.000559042,0.00106608
test_01,gecode,wdeg_split,0,,0.00038995800000000004,3.900e-04,11,3,6,2,0,0.000315458,7.45e-05
test_02,gecode,wdeg_split,0,,0.00033183299999999997,3.318e-04,22,5,16,2,0,0.00026575,6.6083e-05
test_03,gecode,wdeg_split,0,,0.0005393749999999999,5.394e-04,52,15,30,2,0,0.000430209,0.000109166
test_04,gecode,wdeg_split,0,,0.0007330840000000001,7.331e-04,37,8,22,2,0,0.000632376,0.000100708
test_05,gecode,wdeg_split,0,,0.000598667,5.987e-04,29,6,25,2,0,0.000498209,0.000100458
test_06,gecode,wdeg_split,0,,0.001183792,1.184e-03,231,91,51,4,0,0.000569792,0.000614
test_07,gecode,wdeg_split,0,,0.001822415,1.822e-03,81,25,44,2,0,0.00145854,0.000363875
test_08,gecode,wdeg_split,0,,0.000868834,8.688e-04,62,16,48,3,0,0.000694292,0.000174542
test_09,gecode,wdeg_split,0,,0.0013917880000000001,1.392e-03,65,19,46,4,0,0.00124883,0.000142958
test_10,gecode,wdeg_split,0,,0.00200071,2.001e-03,245,104,61,3,0,0.00115146,0.00084925
test_11,gecode,wdeg_split,0,,0.000867,8.670e-04,117,45,37,3,0,0.00053625,0.00033075
test_01,gecode,inorder_min,0,,0.000239167,2.392e-04,12,3,5,2,0,0.000188459,5.0708e-05
test_02,gecode,inorder_min,0,,0.000312709,3.127e-04,11,3,7,2,0,0.000254334,5.8375e-05
test_03,gecode,inorder_min,0,,0.00045366700000000005,4.537e-04,39,16,9,2,0,0.000348583,0.000105084
test_04,gecode,inorder_min,0,,0.000415125,4.151e-04,14,4,10,2,0,0.00034925,6.5875e-05
test_05,gecode,inorder_min,0,,0.000586625,5.866e-04,18,5,13,2,0,0.000500667,8.5958e-05
test_06,gecode,inorder_min,0,,0.002320953,2.321e-03,794,385,16,5,0,0.000741833,0.00157912
test_07,gecode,inorder_min,0,,0.002761125,2.761e-03,112,48,21,3,0,0.0018855,0.000875625
test_08,gecode,inorder_min,0,,0.0008235,8.235e-04,38,10,21,2,0,0.000664833,0.000158667
test_09,gecode,inorder_min,0,,0.001080875,1.081e-03,94,35,16,5,0,0.000770542,0.000310333
test_10,gecode,inorder_min,0,,0.01391265,1.391e-02,7375,3671,25,4,0,0.00106575,0.0128469
test_11,gecode,inorder_min,0,,0.0010926249999999998,1.093e-03,250,122,13,1,0,0.000603375,0.00048925
test_01,chuffed,ff_min,0,,0.001,1.000e-03,13,1,5,1,3,0.001,0.0
test_02,chuffed,ff_min,0,,0.0,0.000e+00,13,2,8,1,2,0.0,0.0
test_03,chuffed,ff_min,0,,0.0,0.000e+00,27,5,10,1,3,0.0,0.0
test_04,chuffed,ff_min,0,,0.005,5.000e-03,24,3,11,1,2,0.004,0.001
test_05,chuffed,ff_min,0,,0.001,1.000e-03,37,6,13,1,3,0.0,0.001
test_06,chuffed,ff_min,0,,0.001,1.000e-03,131,41,17,1,7,0.001,0.0
test_07,chuffed,ff_min,0,,0.002,2.000e-03,114,31,21,1,5,0.001,0.001
test_08,chuffed,ff_min,0,,0.001,1.000e-03,53,4,22,1,3,0.001,0.0
test_09,chuffed,ff_min,0,,0.001,1.000e-03,58,10,17,1,3,0.001,0.0
test_10,chuffed,ff_min,0,,0.003,3.000e-03,206,64,26,1,4,0.002,0.001
test_11,chuffed,ff_min,0,,0.001,1.000e-03,109,48,14,1,4,0.0,0.001
test_01,chuffed,wdeg_split,0,,0.0,0.000e+00,14,1,8,1,2,0.0,0.0
test_02,chuffed,wdeg_split,0,,0.0,0.000e+00,23,1,19,1,2,0.0,0.0
test_03,chuffed,wdeg_split,0,,0.0,0.000e+00,58,6,32,1,2,0.0,0.0
test_04,chuffed,wdeg_split,0,,0.0,0.000e+00,42,1,32,1,2,0.0,0.0
test_05,chuffed,wdeg_split,0,,0.0,0.000e+00,50,2,45,1,2,0.0,0.0
test_06,chuffed,wdeg_split,0,,0.001,1.000e-03,237,44,75,1,5,0.001,0.0
test_07,chuffed,wdeg_split,0,,0.002,2.000e-03,146,8,98,1,3,0.001,0.001
test_08,chuffed,wdeg_split,0,,0.001,1.000e-03,114,2,90,1,2,0.001,0.0
test_09,chuffed,wdeg_split,0,,0.001,1.000e-03,125,8,62,1,5,0.001,0.0
test_10,chuffed,wdeg_split,0,,0.003,3.000e-03,484,62,121,1,4,0.002,0.001
test_11,chuffed,wdeg_split,0,,0.001,1.000e-03,89,16,50,1,1,0.0,0.001
test_01,chuffed,inorder_min,0,,0.0,0.000e+00,12,1,6,1,2,0.0,0.0
test_02,chuffed,inorder_min,0,,0.0,0.000e+00,13,2,8,1,2,0.0,0.0
test_03,chuffed,inorder_min,0,,0.0,0.000e+00,23,4,10,1,2,0.0,0.0
test_04,chuffed,inorder_min,0,,0.0,0.000e+00,18,1,11,1,2,0.0,0.0
test_05,chuffed,inorder_min,0,,0.0,0.000e+00,19,2,14,1,2,0.0,0.0
test_06,chuffed,inorder_min,0,,0.002,2.000e-03,153,83,17,1,5,0.001,0.001
test_07,chuffed,inorder_min,0,,0.001,1.000e-03,50,9,22,1,3,0.001,0.0
test_08,chuffed,inorder_min,0,,0.001,1.000e-03,40,4,22,1,2,0.001,0.0
test_09,chuffed,inorder_min,0,,0.001,1.000e-03,65,12,17,1,5,0.001,0.0
test_10,chuffed,inorder_min,0,,0.003,3.000e-03,244,69,26,1,4,0.002,0.001
test_11,chuffed,inorder_min,0,,0.001,1.000e-03,37,20,14,1,1,0.0,0.001
