file,solver,strategy,rc,status,time_raw,time,nodes,failures,peakDepth,solutions,restarts,initTime,solveTime
test_01,gecode,ff_min,0,,0.0108453,1.085e-02,1531,691,32,19,0,0.0019,0.0089453
test_02,gecode,ff_min,0,,59.895748,5.990e+01,6893232,3446525,39,13,0,0.006648,59.8891
test_03,gecode,ff_min,0,,0.027552300000000002,2.755e-02,3468,1700,32,6,0,0.003876,0.0236763
test_04,gecode,ff_min,0,,59.911374099999996,5.991e+01,11369346,5684600,50,12,0,0.0092741,59.9021
test_05,gecode,ff_min,0,,0.2334599,2.335e-01,29316,14623,41,6,0,0.0050769,0.228383
test_06,gecode,ff_min,0,,59.9138171,5.991e+01,3278092,1638910,59,24,0,0.0206171,59.8932
test_07,gecode,ff_min,0,,0.7686709,7.687e-01,59287,29576,40,10,0,0.0067129,0.761958
test_08,gecode,ff_min,0,,59.9074463,5.991e+01,5163625,2581747,85,4,0,0.0232463,59.8842
test_09,gecode,ff_min,0,,59.931727599999995,5.993e+01,10454140,5226858,121,15,0,0.0574276,59.8743
test_10,gecode,ff_min,0,,59.921944100000005,5.992e+01,2568496,1284123,115,6,0,0.0436441,59.8783
test_01,gecode,wdeg_min,0,,0.0039936,3.994e-03,206,79,26,4,0,0.0027293,0.0012643
test_02,gecode,wdeg_min,0,,0.1405444,1.405e-01,13153,6539,27,8,0,0.0047944,0.13575
test_03,gecode,wdeg_min,0,,0.0048351,4.835e-03,145,47,26,4,0,0.0036712,0.0011639
test_04,gecode,wdeg_min,0,,1.2190016000000001,1.219e+00,86572,43205,42,13,0,0.0083716,1.21063
test_05,gecode,wdeg_min,0,,0.0112483,1.125e-02,625,271,32,7,0,0.0047446,0.0065037
test_06,gecode,wdeg_min,0,,21.5943646,2.159e+01,1088622,543749,52,84,0,0.0130646,21.5813
test_07,gecode,wdeg_min,0,,0.0341095,3.411e-02,1999,959,27,8,0,0.0082285,0.025881
test_08,gecode,wdeg_min,0,,59.8902845,5.989e+01,4488635,2244247,65,12,0,0.0110845,59.8792
test_09,gecode,wdeg_min,0,,59.908981,5.991e+01,6690656,3345160,104,13,0,0.058681,59.8503
test_10,gecode,wdeg_min,0,,59.9129628,5.991e+01,2285578,1142271,90,57,0,0.0396628,59.8733
test_01,gecode,inorder_min,0,,0.018581900000000002,1.858e-02,2927,1435,31,7,0,0.0023483,0.0162336
test_02,gecode,inorder_min,0,,59.8981353,5.990e+01,18223133,9111515,46,8,0,0.0030353,59.8951
test_03,gecode,inorder_min,0,,0.1262429,1.262e-01,33773,16853,34,8,0,0.0039679,0.122275
test_04,gecode,inorder_min,0,,59.9096383,5.991e+01,12199112,6099517,49,5,0,0.0085383,59.9011
test_05,gecode,inorder_min,0,,0.15733809999999998,1.573e-01,23531,11735,42,5,0,0.0036201,0.153718
test_06,gecode,inorder_min,0,,59.915046,5.992e+01,9464195,4732009,61,11,0,0.012946,59.9021
test_07,gecode,inorder_min,0,,59.912822299999995,5.991e+01,9466590,4733263,43,4,0,0.0077223,59.9051
test_08,gecode,inorder_min,0,,59.9156391,5.992e+01,5824194,2911981,87,10,0,0.0224391,59.8932
test_09,gecode,inorder_min,0,,59.920546300000005,5.992e+01,7308989,3654404,124,4,0,0.0542463,59.8663
test_10,gecode,inorder_min,0,,59.863534,5.986e+01,5199574,2599628,121,14,0,0.040134,59.8234
test_01,chuffed,ff_min,0,,0.025,2.500e-02,190,49,28,1,4,0.022,0.003
test_02,chuffed,ff_min,0,,0.952,9.520e-01,31416,22484,33,1,11,0.027,0.925
test_03,chuffed,ff_min,0,,0.03,3.000e-02,129,46,28,1,2,0.027,0.003
test_04,chuffed,ff_min,0,,59.925,5.992e+01,760664,538815,43,1,13,0.032,59.893
test_05,chuffed,ff_min,0,,0.046,4.600e-02,952,641,38,1,3,0.023,0.023
test_06,chuffed,ff_min,0,,59.935,5.994e+01,683445,598218,53,1,19,0.045,59.89
test_07,chuffed,ff_min,0,,0.391,3.910e-01,11666,8132,39,1,7,0.023,0.368
test_08,chuffed,ff_min,0,,59.953,5.995e+01,485335,375358,75,1,9,0.076,59.877
test_09,chuffed,ff_min,0,,60.017,6.002e+01,977275,657441,102,1,27,0.15,59.867
test_10,chuffed,ff_min,0,,60.006,6.001e+01,553750,472763,108,1,8,0.134,59.872
test_01,chuffed,wdeg_min,0,,0.033,3.300e-02,315,100,28,1,7,0.027,0.006
test_02,chuffed,wdeg_min,0,,2.476,2.476e+00,76577,53661,33,1,11,0.024,2.452
test_03,chuffed,wdeg_min,0,,0.027,2.700e-02,619,291,28,1,8,0.019,0.008
test_04,chuffed,wdeg_min,0,,59.9,5.990e+01,586938,515704,43,1,8,0.04,59.86
test_05,chuffed,wdeg_min,0,,0.065,6.500e-02,1171,796,38,1,5,0.029,0.036
test_06,chuffed,wdeg_min,0,,59.939,5.994e+01,786334,650470,53,1,32,0.05,59.889
test_07,chuffed,wdeg_min,0,,1.134,1.134e+00,28420,22712,39,1,4,0.023,1.111
test_08,chuffed,wdeg_min,0,,59.959,5.996e+01,689657,509768,75,1,14,0.076,59.883
test_09,chuffed,wdeg_min,0,,60.017,6.002e+01,620984,548774,103,1,18,0.154,59.863
test_10,chuffed,wdeg_min,0,,60.016,6.002e+01,322258,272559,108,1,18,0.145,59.871
test_01,chuffed,inorder_min,0,,0.034,3.400e-02,315,100,28,1,7,0.029,0.005
test_02,chuffed,inorder_min,0,,3.133,3.133e+00,76577,53661,33,1,11,0.033,3.1
test_03,chuffed,inorder_min,0,,0.031,3.100e-02,619,291,28,1,8,0.023,0.008
test_04,chuffed,inorder_min,0,,59.916,5.992e+01,446724,394810,43,1,8,0.039,59.877
test_05,chuffed,inorder_min,0,,0.069,6.900e-02,1171,796,38,1,5,0.032,0.037
test_06,chuffed,inorder_min,0,,59.886,5.989e+01,697436,568501,53,1,31,0.052,59.834
test_07,chuffed,inorder_min,0,,1.159,1.159e+00,28420,22712,39,1,4,0.024,1.135
test_08,chuffed,inorder_min,0,,59.959,5.996e+01,555220,408740,75,1,14,0.076,59.883
test_09,chuffed,inorder_min,0,,59.993,5.999e+01,575858,507879,103,1,18,0.157,59.836
test_10,chuffed,inorder_min,0,,60.011,6.001e+01,524616,438991,108,1,18,0.133,59.878
